No.,日本語,単語・表現,英語の説明
1001,〜に勝るものはない,there's nothing like,nothing compares
1002,心の安らぎ,peace of mind,freedom from worry
1003,結合する,join together,unite or combine
1004,別の専門家の意見,second opinion,another expert's view
1005,態度が悪い,have an attitude,show a hostile or arrogant manner
1006,全部私のせい,all my fault,entirely my responsibility
1007,〜の大ファン,a big fan of,really enjoy or admire
1008,速度を落とす,slow down,reduce speed
1009,高慢な,stuck up,arrogant
1010,始まる前に,before it starts,prior to its beginning
1011,誰にも劣らない,second to none,unsurpassed
1012,歩いて〜分の所,minute walk away,reachable in a short walk
1013,〜は別として,aside from,apart
1014,横になる,lie down,rest in a horizontal position
1015,事前の知らせ,a heads-up,an advance warning
1016,間違いなく,without a doubt,with absolute certainty
1017,カウントダウンする,count down,count toward zero
1018,自分へのメモ,note to self,a personal reminder
1019,〜を楽しむ,enjoy doing,have fun doing
1020,体調が悪い,under the weather,feeling slightly ill
1021,犬を散歩させる,walk my dog,take my dog for a walk
1022,困難を乗り越える,pull through,survive a tough situation
1023,ちょっと考えたんだけど,here's a thought,I have a suggestion
1024,〜するように見える,seem to,give the impression of being or doing something
1025,行き詰まる,get stuck,become unable to move forward
1026,満たす,fill up,make completely full
1027,進行中,work in progress,something still being developed
1028,分からない,there's no telling,it's impossible to know
1029,言うは易し,easier said than done,talking is easier than doing
1030,脱毛,hair loss,the loss of hair from the head
1031,念のため,to be safe,as a precaution
1032,大げさに騒ぐ人,drama queen,a person who reacts overly dramatically
1033,実績,track record,the past performance of someone
1034,気づくに至る,come to realize,gradually understand
1035,ビビる,chicken out,lose courage and back away
1036,〜した方がいい,you'd better,give strong advice or a mild warning
1037,〜しているのを目撃する,catch someone doing,discover someone in the act
1038,一体どうやって〜？,how on earth,in what way (incredulous)
1039,途方に暮れて,at sea,confused
1040,一体どこに,where on earth,where (with strong frustration or surprise)
1041,〜を聴く,listen to,pay attention to sound or advice
1042,その意気だ,that's the spirit,good attitude
1043,過ぎたこと,water under the bridge,something past and forgotten
1044,閉鎖する,shut down,close
1045,人生の新たな章,new chapter,a fresh phase in life
1046,危険にさらされている,at risk,in danger of harm or loss
1047,〜しようと申し出る,offer to,volunteer to do
1048,本当のところ,the truth is,"an honest, often blunt statement"
1049,くつろぐ,kick back,relax
1050,どんな時も,through thick and thin,in good times and bad
1051,高層ビル,high rise,a tall building with many floors
1052,言論の自由,free speech,freedom of expression
1053,今後は,moving forward,from this point onward
1054,ボールをパスする,pass the ball,give the ball to a teammate
1055,〜から得点する,score against,make a point versus an opponent
1056,1箱の〜,a box of,a container holding multiple items
1057,知らされていない,in the dark,not told about something that others know
1058,近日開店,opening soon,about to open in the near future
1059,きちんと片付ける,square away,put in order
1060,転がり落ちる,roll down,move down by turning
1061,新分野に乗り出す,branch out,expand into new areas
1062,〜しましょうか,shall we,shall we go (let's)
1063,言ってみれば,so to speak,as it were
1064,〜に含まれている,be included in,be counted as part of something larger
1065,粉々に砕ける,break into pieces,shatter into fragments
1066,売り出し価格,asking price,the price requested by a seller
1067,感情を抑え込む,bottle up,suppress emotions
1068,しくじる,mess up,make a mistake
1069,〜という条件で,provided that,on the condition
1070,順調に,on track,going as planned
1071,〜の担当,in charge of,responsible for something
1072,まっすぐ前に,straight ahead,directly in front
1073,二重基準,double standard,applying different rules unfairly
1074,ジムに行く,hit the gym,go to the gym
1075,ほとんど〜できない,can hardly,barely able
1076,新たな出発,fresh start,a new beginning
1077,〜に加えて,in addition to,as an extra thing besides what already exists
1078,天国から地獄へ,from heaven to hell,from a great state to a terrible one
1079,気を取り直す,pull myself together,regain composure
1080,稼働状態で,in working condition,still functioning
1081,期待値,expected value,the average outcome of a probabilistic event
1082,ちょっと聞きたかったんだけど,I was just wondering,I was thinking to ask
1083,結論,bottom line,the essential point
1084,テキストメッセージ,text message,an SMS or chat message
1085,印刷する,print out,produce a paper copy from a computer
1086,みたいな,sort of,somewhat
1087,臨機応変にやる,play it by ear,decide as the situation develops
1088,急に怖気づくこと,cold feet,a sudden loss of confidence
1089,抜き打ち検査,spot check,carry out a brief inspection
1090,もっと近づく,come closer,approach nearer
1091,公平に言うと,to be fair,giving the other side of an argument
1092,セール中,on sale,available at a reduced price
1093,ふらっと立ち寄る,drop in,visit unannounced
1094,空調する,air condition,control the temperature of the air
1095,電源,power supply,a source of electrical power
1096,脚の日(脚のトレーニング日),leg day,a workout session focused on the legs
1097,メンタルヘルス,mental health,a person's emotional and psychological well-being
1098,力を合わせる,pull together,cooperate as a team
1099,うんざりした,fed up,annoyed and impatient
1100,ぎりぎり,just barely,by a very small margin
